User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,session_duration_h,charge_duration_h,delay_duration_h,utilisation_rate,charging_rate_calc_kw,start_hour,end_hour,start_dayofweek,start_weekday_name,is_weekend,start_part_of_day,energy_per_session_hour,distance_per_kwh,is_flexible,flexibility_label
User_1,BMW i3,108.46300741284072,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,DC Fast Charger,Commuter,0.65,0.5913634253585007,0.0586365746414992,0.9097898851669242,102.66503326295718,0,0,0,Monday,0,Night,93.40360882296426,4.8359539906464795,0,not_flexible
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,Level 2,Commuter,2.8,2.4526527258367823,0.3473472741632175,0.8759474020845651,7.799259756021594,2,4,0,Monday,0,Night,6.831741321469814,3.753448663243421,0,not_flexible
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.31631316036344,1.0,Level 1,Long-Distance Traveler,3.7,1.266430804620451,2.4335691953795493,0.3422785958433651,62.74154395057416,3,6,0,Monday,0,Night,21.475087564447303,2.511744904382564,1,flexible
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,36.90034077796173,Evening,Saturday,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,DC Fast Charger,Long-Distance Traveler,2.1666666666666665,1.1676401541014236,0.9990265125652428,0.5389108403545032,36.98154520535145,5,7,0,Monday,0,Night,19.929755604224002,3.3273798610995726,0,not_flexible
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,Level 2,Long-Distance Traveler,3.7,2.6553964456130235,1.0446035543869767,0.7176747150305468,19.38227225672048,7,10,0,Monday,0,Morning,13.910166718486341,2.2643979436974764,1,flexible
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.51201936462592,2.830381306943589,DC Fast Charger,Commuter,3.733333333333333,2.0268746909843576,1.7064586423489758,0.5429128636565244,38.91143729904935,9,12,0,Monday,0,Morning,21.125519853018176,0.6847630628358126,1,flexible
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.20619747737872,2.6486354477276968,38.221230704051806,Night,Thursday,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,DC Fast Charger,Casual Driver,3.983333333333333,2.6486354477276968,1.3346978856056366,0.6649294011031874,6.87380269451505,10,13,0,Monday,0,Morning,4.570593508965369,3.550145154098219,1,flexible
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.564929484106763,2.0578886215204486,14.0508613520737,Evening,Sunday,14.618902372078484,85.85749415419053,194.7638066817377,34.26261127319235,0.0,DC Fast Charger,Long-Distance Traveler,3.9166666666666665,2.0578886215204486,1.858778045146218,0.5254183714520294,10.965087832321514,11,14,0,Monday,0,Morning,5.7612585916868335,8.631261481181069,1,flexible
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.927545290947553,3.4218093378407497,18.552815677456245,Afternoon,Monday,71.68354383511853,63.70663794066834,155.36060543681995,39.50544568765913,4.0,Level 1,Casual Driver,3.533333333333333,3.4218093378407497,0.1115239954925835,0.9684366050492688,3.777985274628179,14,17,0,Monday,0,Afternoon,3.658739233287043,12.01779625909417,0,not_flexible
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.40570905025936,6.0,Level 2,Casual Driver,3.216666666666667,0.8482182678183041,2.3684483988483627,0.2636947982854831,28.087157961102324,17,20,0,Monday,0,Afternoon,7.4064374529653785,0.9237236306632023,1,flexible
